gene symbol,genotypeA_sample1,genotypeA_sample2,genotypeA_sample3,genotypeB_sample1,genotypeB_sample2,genotypeB_sample3,genotypeC_sample1,genotypeC_sample2,genotypeC_sample3
Gm8580,5.76790020772253,5.4551369011037,7.15700284153615,4.90051996971888,3.87028458715888,5.86953261418999,0.279082952804649,0.216799939749034,0.671673834972651
Morf4l1b,109.484713908718,97.0398475897511,134.512688479877,127.100854335204,141.157341768564,151.387780752132,21.4323915516528,23.1259664344095,24.8647562154195
Gm6548,39.8445723383438,40.8726958284386,64.365084416047,59.735055116722,62.7700826486787,68.3438017414806,21.5457280559608,20.390066309789,24.260410067962
Cemip,0.083976125904092,1.62076973407263,4.18210099769091,0.114739404582507,0.31393412901113,0.074213334355671,74.8807077595573,41.8890739043119,87.9000364781233
Stra6l,0.041988062952046,1.24674594928664,2.19305296220377,0.057369702291254,0.156967064505565,0,33.6733891412183,24.4939164967198,45.8469491174649
Cd5l,3.56898535092389,41.2672909213879,34.8338412368645,1.95056987790262,8.894800321982,1.70690669018042,1252.00805423701,1348.95608528802,2155.39438991979
Atp6v0d2,1.0077135108491,9.03890813232815,12.2402956029978,1.37687285499009,1.25573651604452,1.03898668097939,270.058615539663,165.509806510472,335.462874777908
Mmp12,4.03085404339639,27.3660735868418,51.868252617703,3.67166094664023,3.66256483846318,2.07797336195878,816.088343447774,682.632022678817,1016.43434278837
Clec7a,6.08826912804664,15.6466616635474,12.7503079197893,4.36009737413527,3.87185425780393,3.56224004907219,121.197995936291,99.7663439553078,217.479117608488
Lgals3,24.4790407010427,63.9580671984047,112.151708462467,21.1120504431813,16.952442966601,21.8929336349228,1189.18163364084,754.131235846788,1091.93753521608
Hk3,7.17995876479983,11.0337016511868,15.1983670403889,5.39275201537784,4.0288213223095,5.19493340489694,143.734271937418,106.609291906088,201.341846473902
Adam8,8.69152903107347,19.324562213943,34.8848424685436,4.64694588559154,5.23223548351883,4.74965339876292,221.825088778531,195.439709697064,230.944655111519
Mkrn1,65.2494498274791,51.989306085253,63.9045432939842,57.2549628866711,51.0666183191437,52.6914673925261,106.850773714644,102.452360907951,107.617430678991
Nxpe4,1.04004431932217,1.08840921372724,1.53003695037472,1.68781664140868,1.93645035245032,2.07797336195878,11.5085686195288,13.5439207197789,11.5429579817655
2310030G06Rik,1.17566576265728,0.997396759429314,1.27503079197893,1.09002434353382,0.732512967692636,1.55848002146908,4.45484525603666,2.94182809098984,4.27477381048624
